Input_R1,Input_R2,D7_R1,D7_R2,D14_R1,D14_R2
AQR_crRNA0206:206-232_T10_0.9946_0.779034558025525,579,810,438,483,177,309
AQR_crRNA0207:207-233_T13_0.994_0.775393266507272,711,959,636,927,601,778
AQR_crRNA0213:213-239_B11_0.002358_0.414807854207044,603,717,512,675,504,531
AQR_crRNA0215:215-241_B25_0.005575_0.437906503362808,623,774,557,692,419,638
AQR_crRNA0216:216-242_B37_0.008576_0.455647118411888,793,1127,716,942,553,1019
AQR_crRNA0225:225-251_B29_0.006861_0.441719051790087,641,1217,652,953,363,612
AQR_crRNA0463:510-536_T14_0.9938_0.774757715316505,458,800,153,273,98,150
AQR_crRNA0728:922-948_B27_0.006218_0.439388603696818,395,565,188,439,124,182
AQR_crRNA0889:1083-1109_T3_0.9981_0.793574498165744,508,694,329,534,324,438
AQR_crRNA1345:1741-1767_B13_0.002787_0.4186716388991,923,1376,818,1227,420,904
AQR_crRNA1346:1742-1768_B33_0.007719_0.449871637194203,811,1094,668,865,519,777
AQR_crRNA1474:1870-1896_T19_0.9919_0.768497245516068,732,934,564,935,377,1142
AQR_crRNA1503:1924-1950_B39_0.009005_0.456869410525511,597,741,568,698,827,576
AQR_crRNA1519:1940-1966_T8_0.9961_0.783109800951381,390,568,119,229,68,148
AQR_crRNA1536:1981-2007_T16_0.9929_0.773476907193157,504,710,388,573,188,618
AQR_crRNA1608:2053-2079_B31_0.00729_0.442725497302658,599,861,537,664,400,524
AQR_crRNA1767:2261-2287_T11_0.9944_0.776923818989703,725,1046,341,524,222,234
AQR_crRNA1768:2262-2288_T12_0.9942_0.776923818989703,860,1249,414,508,268,210
AQR_crRNA1920:2478-2504_T20_0.9914_0.768145868397807,320,508,305,371,179,386
AQR_crRNA1958:2516-2542_T4_0.9974_0.789257881387549,359,533,91,103,38,91
AQR_crRNA1959:2517-2543_T5_0.9972_0.789257881387549,399,420,105,132,42,76
AQR_crRNA1960:2518-2544_T6_0.997_0.78850037074081,380,648,245,352,156,291
AQR_crRNA2269:2850-2876_T1_0.9989_0.801065977800853,385,544,41,102,19,18
AQR_crRNA2270:2851-2877_T2_0.9987_0.799683955253729,536,626,68,79,39,29
AQR_crRNA2373:2978-3004_T9_0.9953_0.781425957996901,436,680,229,372,109,207
AQR_crRNA2432:3037-3063_T18_0.9925_0.772166656341488,483,587,311,344,197,350
AQR_crRNA2433:3038-3064_T15_0.9931_0.774210541997538,506,662,332,343,198,199
AQR_crRNA2905:3630-3656_T17_0.9927_0.773025486191545,519,752,240,311,116,188
AQR_crRNA2961:3686-3712_B23_0.004931_0.43389319942659,742,1115,655,1008,438,1094
AQR_crRNA3371:4169-4195_B3_0.0006432_0.388179880506072,684,761,588,754,507,750
AQR_crRNA3528:4373-4399_B9_0.00193_0.411318972544236,219,419,200,360,132,343
AQR_crRNA3542:4387-4413_T7_0.9966_0.786899080862202,557,728,456,622,304,377
AQR_crRNA3651:4496-4522_B17_0.003645_0.426683191427788,462,709,314,405,214,216
AQR_crRNA3653:4498-4524_B7_0.001501_0.406821418465165,338,497,30,99,12,27
AQR_crRNA3654:4499-4525_B15_0.003216_0.426510675430692,312,661,243,438,144,239
AQR_crRNA3663:4508-4534_B1_0_0.308907590256855,328,547,93,181,29,120
AQR_crRNA3676:4544-4570_B21_0.004503_0.431229972633968,569,860,418,564,310,583
AQR_crRNA3727:4595-4621_B19_0.004074_0.428734794132,566,758,526,783,480,678
AQR_crRNA3729:4597-4623_B35_0.008148_0.450717076305511,525,639,438,639,559,463
AQR_crRNA3730:4598-4624_B5_0.001072_0.399239421121593,441,698,441,682,397,480
ARCN1_crRNA0072:72-98_B3_0.001104_0.34490407424169,844,1104,651,975,456,880
ARCN1_crRNA0073:73-99_B9_0.005521_0.396996933485611,810,952,574,788,485,929
ARCN1_crRNA0084:84-110_B29_0.0184_0.443469155736309,753,910,556,708,618,662
ARCN1_crRNA0340:442-468_T10_0.996_0.783106596168576,444,529,209,326,141,254
ARCN1_crRNA0401:503-529_T20_0.9912_0.770690705337855,724,845,542,713,353,632
ARCN1_crRNA0487:589-615_T19_0.9919_0.774445391432288,328,596,371,499,230,401
ARCN1_crRNA0537:663-689_B15_0.008833_0.415455241185866,495,673,442,574,363,550
ARCN1_crRNA0538:664-690_B19_0.01104_0.420266873057066,532,555,443,521,300,429
ARCN1_crRNA0541:667-693_B23_0.01362_0.431541913057847,255,423,334,400,199,328
ARCN1_crRNA0543:669-695_B1_0_0.324385402957036,439,555,402,465,310,698
ARCN1_crRNA0544:670-696_B5_0.00184_0.345549119006351,424,697,406,458,584,454
ARCN1_crRNA0554:680-706_B27_0.01693_0.436881070176795,608,924,655,831,422,961
ARCN1_crRNA0598:724-750_B35_0.02392_0.454467442839147,742,833,630,878,535,768
ARCN1_crRNA0599:725-751_B39_0.02724_0.461661713934121,587,853,539,673,408,659
ARCN1_crRNA0600:726-752_B21_0.01215_0.428927210774776,596,877,624,784,428,1158
ARCN1_crRNA0601:727-753_B11_0.006257_0.405683534855145,423,518,271,405,149,397
ARCN1_crRNA0602:728-754_B13_0.007729_0.410656811242144,620,918,588,862,385,794
ARCN1_crRNA0603:729-755_B7_0.004417_0.374878502588647,591,886,461,821,478,693
ARCN1_crRNA0604:730-756_B37_0.02466_0.457877719295142,602,752,449,639,431,849
ARCN1_crRNA0606:732-758_B31_0.01914_0.444591174124762,619,836,464,808,340,1229
ARCN1_crRNA0609:735-761_B17_0.009937_0.416964687547265,587,956,541,803,347,754
ARCN1_crRNA0611:737-763_B33_0.01987_0.447017229287357,508,697,413,650,308,516
ARCN1_crRNA0614:740-766_B25_0.01546_0.433363738712507,695,778,500,620,360,461
ARCN1_crRNA0814:940-966_T6_0.9978_0.794298821803412,523,566,404,498,257,449
ARCN1_crRNA1012:1168-1194_T4_0.9985_0.807658930934226,364,472,120,202,102,138
ARCN1_crRNA1047:1227-1253_T8_0.9971_0.788041710323832,306,529,259,391,152,359
ARCN1_crRNA1048:1228-1254_T9_0.9967_0.786934938774493,459,601,394,542,313,414
ARCN1_crRNA1049:1229-1255_T14_0.9945_0.779506427922092,321,514,281,413,235,404
