R1_input,R2_input,R3_input,R1_top,R2_top,R3_top,R1_bot,R2_bot,R3_bot
crRNA0001:1-23,1321,410,1053,105,474,1010,1218,1533,1198
crRNA0002:2-24,1382,333,1040,58,292,953,1054,1250,1207
crRNA0003:3-25,1525,323,1230,69,405,1166,1053,1315,1204
crRNA0004:5-27,1938,622,1786,82,384,1731,1770,2124,1983
crRNA0005:6-28,1323,436,1169,78,507,1148,1517,1591,1202
crRNA0006:7-29,1545,534,1163,101,724,1248,1317,1457,1279
crRNA0007:8-30,1659,378,975,57,300,1072,1531,1582,1232
crRNA0008:9-31,1086,354,755,107,188,862,1074,1061,942
crRNA0009:10-32,1206,446,978,26,358,1202,875,959,898
crRNA0010:12-34,1305,540,962,49,67,1164,1094,1489,1060
crRNA0011:13-35,1731,388,1222,106,552,1678,1002,1637,963
crRNA0012:14-36,1169,401,936,145,439,1813,688,1094,608
crRNA0013:15-37,1513,391,1225,164,516,1573,949,1267,918
crRNA0014:17-39,2083,539,1442,307,1003,2877,962,1169,789
crRNA0015:18-40,1711,477,1143,141,875,2394,737,816,619
crRNA0016:19-41,1233,371,1089,181,560,1903,524,822,578
crRNA0017:20-42,1424,360,1107,117,494,1656,759,1009,771
crRNA0018:21-43,1624,194,1322,158,638,2861,485,911,549
crRNA0019:22-44,1370,223,1133,108,537,2089,457,902,705
crRNA0020:24-46,1639,258,1417,136,823,2130,756,1349,993
crRNA0021:25-47,1407,373,1095,206,773,2367,336,460,482
crRNA0022:26-48,1412,374,1093,94,248,1192,790,1149,1218
crRNA0023:27-49,1127,179,1017,122,417,1926,440,679,656
crRNA0024:28-50,1165,268,913,88,539,2287,274,591,364
crRNA0025:29-51,946,227,997,124,1090,3420,353,345,194
crRNA0026:31-53,1486,382,1287,220,1595,3460,296,449,378
crRNA0027:32-54,1592,324,1093,105,1347,3229,368,522,608
crRNA0028:34-56,1183,345,1288,52,233,2011,556,942,794
crRNA0029:35-57,1207,185,995,72,236,1074,609,1106,930
crRNA0030:36-58,1061,206,854,119,399,1279,440,880,598
crRNA0031:37-59,1487,207,1182,39,160,1362,460,1328,1071
crRNA0032:38-60,994,290,917,93,327,938,503,1095,868
crRNA0033:39-61,1024,163,709,26,312,741,394,904,690
crRNA0034:40-62,1182,281,1084,53,430,1167,761,1477,1073
crRNA0035:41-63,1528,399,1087,60,419,1382,828,1443,1000
crRNA0036:42-64,1070,272,697,61,512,672,653,822,668
crRNA0037:43-65,832,248,735,71,338,602,755,987,806
crRNA0038:46-68,1051,253,900,58,1932,762,632,915,1003
crRNA0039:48-70,1047,207,951,52,567,828,836,1397,1004
