GeneSymbol	class	AvanaGeneRank	GeCKOv1GeneRank	AvanaSelected	GeCKOv1Selected	TPM	IsoPct	maxTX	D2_combined	DeepmapAllScreens	Avana6_lentiCRISPRv2_STARSscore	Avana6_lentiGuide_STARSscore	GeCKOv2_lentiGuide_STARSscore	Doench2016merged_STARSscore
BUB1B	Essential_Genes	18124	55	NA	55	42.26	94.4155229531472	ENST00000287598.6	-1.1200448226	-0.944643106447	1.844650069	2.550068551	1.38625287	3.845459926
SF3A1	Essential_Genes	17292	3578	NA	NA	57.14	82.7441372068603	ENST00000215793.8	-1.23003385216	-1.135491906305	3.529683766	4.277931988	2.448653849	4.779016319
PDCD11	Essential_Genes	17002	3064	NA	NA	50.61	94.3094250148192	ENST00000369797.3	-1.21712673243	-1.08677222542	2.274286184	3.304946394	2.623665338	4.337388743
WDR43	Essential_Genes	18381	4807	NA	NA	46.28	96.2618841832325	ENST00000407426.3	-1.30703487322	-0.9960757109465	5.666406573	8.495099671	4.42659402	10.49564346
RTF1	Essential_Genes	16952	10910	NA	NA	29.45	97.1816638370119	ENST00000389629.4	-1.09108186241	-1.1289627022	NA	2.130546652	2.656975098	2.859253065
SF3B3	Essential_Genes	18358	14887	NA	NA	83.58	89.6027757836803	ENST00000302516.5	-1.18904482819	-1.11869076546	5.213417977	5.180361875	2.569090813	5.672410407
SF3B1	Essential_Genes	16574	15739	NA	NA	76.28	80.5977975878343	ENST00000335508.6	-1.32421534445	-1.35285553983	3.11823962	3.224452435	3.813790432	5.987022688
NCBP1	Essential_Genes	14915	12832	NA	NA	25.25	96.3960396039604	ENST00000375147.3	-0.944708475978	-1.07891851545	1.640223517	3.246523334	2.505969694	5.003825411
COPS4	Essential_Genes	2541	16619	NA	NA	28.09	89.4268422926308	ENST00000264389.2	-1.23886729425	-1.26636260172	NA	NA	2.969045436	1.267590796
POLA1	Essential_Genes	16563	16912	NA	NA	15.52	92.5257731958763	ENST00000379068.3	-1.35224115286	-1.297516625905	1.097989859	1.976537223	NA	2.141210185
RBM22	Essential_Genes	17195	8008	NA	NA	34.86	96.3568559954102	ENST00000199814.4	-1.12278298197	-1.221032828185	3.367144669	4.113686452	NA	1.454610386
PSMD1	Essential_Genes	17169	2340	NA	NA	77.6	95.5025773195876	ENST00000308696.6	-1.45205129179	-1.37275081245	4.5072072	4.634344532	1.502957325	4.920824927
SPC25	Essential_Genes	18312	15013	NA	NA	14.66	100	ENST00000282074.2	-1.38481364979	-1.0645542018	4.28435271	1.984813375	3.279712948	3.95594467
RPA1	Essential_Genes	11751	13009	NA	NA	52.61	95.3050750807831	ENST00000254719.5	-1.08905576464	-1.19985377263	2.759204638	2.505224044	1.996859339	3.716999005
RRM1	Essential_Genes	18334	9891	NA	NA	72.33	95.6864371630029	ENST00000300738.5	-1.07467597419	-1.14964369933	5.324182902	5.529586913	1.601542327	6.510866627
SUPT6H	Essential_Genes	17096	13850	NA	NA	58.34	88.635584504628	ENST00000314616.6	-1.13421986666	-0.9380411508025	2.716858269	2.555001094	2.544948756	4.83930274
VARS	Essential_Genes	16686	10461	NA	NA	70.5	80.0425531914894	ENST00000375663.3	-1.15653306897	-1.12055446386	3.52284713	5.944589514	2.939800945	6.983737551
NOC4L	Essential_Genes	17830	14369	NA	NA	22.95	94.0740740740741	ENST00000330579.1	-1.06568564017	-0.949232085135	1.837051247	3.207924668	1.715177483	3.847787939
GRPEL1	Essential_Genes	17596	9241	NA	NA	32.74	100	ENST00000264954.4	-1.03160243644	-0.966516059579	1.589880204	2.646935866	NA	3.498993559
SF3A2	Essential_Genes	18141	17108	NA	NA	37.34	100	ENST00000221494.5	-1.1798866356	-0.939064058296	3.307179747	6.594883894	NA	3.935570926
SYMPK	Essential_Genes	17692	16808	NA	NA	40.98	83.2113225963885	ENST00000245934.7	-1.02219267098	-0.9589370801345	2.261094567	2.011852203	2.412864976	3.745689726
WDR75	Essential_Genes	16759	9879	NA	NA	33.04	96.4588377723971	ENST00000314761.4	-1.4289804397	-0.920663259816	3.490556005	2.563933227	1.717075348	2.7820503
TSR2	Essential_Genes	14090	15716	NA	NA	25.26	100	ENST00000375151.4	-0.980888940907	-0.929649350084	3.640001742	6.621929091	1.952965705	7.31232671
NUP93	Essential_Genes	17381	2316	NA	NA	50.28	90.8910103420843	ENST00000308159.5	-1.50322648445	-1.3257122371	2.457592147	3.924460594	2.744381295	5.116224873
AQR	Essential_Genes	17458	10307	NA	NA	17.42	95.8668197474168	ENST00000156471.5	-0.970180617954	-0.905364542531	2.171640185	3.633138064	NA	3.771045255
CDC5L	Essential_Genes	18108	14083	NA	NA	14.48	100	ENST00000371477.3	-1.14505304509	-0.902717938657	4.869136396	5.219618621	1.295483138	4.750891602
ARCN1	Essential_Genes	16512	11729	NA	NA	124.66	49.3823199101556	ENST00000264028.4	-1.2443412112	-1.31477069602	NA	NA	1.196487291	1.357707038
CCT7	Essential_Genes	14622	15016	NA	NA	397.3	84.3468411779512	ENST00000258091.5	-1.22482554582	-1.397444198035	1.608305411	3.093973266	1.680518121	4.52058433
EIF3B	Essential_Genes	15326	15849	NA	NA	160.98	65.5919990060877	ENST00000360876.4	-1.48667804383	-1.41026564654	3.183453706	7.515589745	3.675510499	10.40936015
NUP133	Essential_Genes	17851	5351	NA	NA	30.46	99.5732107682206	ENST00000261396.3	-1.27975965699	-1.20838276426	2.987728696	4.354954956	2.223656995	5.740058835
PRPF19	Essential_Genes	18373	566	NA	NA	211.75	99.5135773317592	ENST00000227524.4	-0.99909985125	-1.321174332055	7.06679096	6.369732728	4.868954852	10.5560502
PSMB2	Essential_Genes	16980	5613	NA	NA	100.12	100	ENST00000373237.3	-1.09150999793	-1.1912584857	2.527261172	4.54262315	2.265435087	5.953665689
PSMB6	Essential_Genes	17753	6319	NA	NA	189.41	97.0487302676733	ENST00000270586.3	-1.46538539856	-1.2837939691	2.998501249	7.49507502	1.377494637	7.34835868
SFPQ	Essential_Genes	17638	13407	NA	NA	238.55	54.2988891217774	ENST00000357214.5	-1.14668057919	-1.23170342675	NA	4.116952228	4.779750185	7.849048898
SNRNP200	Essential_Genes	18379	2882	NA	NA	80.21	88.1934920832814	ENST00000323853.5	-1.27699110002	-1.27446056839	6.909368094	5.261428355	2.136549729	6.045748507
CDKN1A	NonEssential_Genes	930	3335	NA	NA	68.63	94.9293311962699	ENST00000244741.5	0.0269012628638	-0.007528443329395	NA	NA	NA	NA
JTB	NonEssential_Genes	13137	17411	NA	NA	88.64	88.5040613718412	ENST00000271843.4	-0.0267939979147	-0.0602860023923	NA	NA	1.385608055	1.161487141
BTG3	NonEssential_Genes	15234	15835	NA	NA	18.07	80.1881571665744	ENST00000348354.6	-0.0602932809114	0.0126952384276	NA	NA	NA	NA
CKAP4	NonEssential_Genes	2234	7633	NA	NA	50.61	100	ENST00000378026.4	-0.032591968129	-0.0129691480775	NA	NA	NA	NA
DUSP12	NonEssential_Genes	11796	10724	NA	NA	67.68	84.2937352245863	ENST00000367943.4	-0.0817324783362	-0.05631544443085	NA	NA	1.235665023	0.809262157
HENMT1	NonEssential_Genes	11570	130	NA	NA	5.97	82.9145728643216	ENST00000402983.1	0.0285134409075	-0.01900513092235	NA	NA	NA	NA
KLHDC3	NonEssential_Genes	11109	14600	NA	NA	56.55	96.3218390804598	ENST00000326974.4	-0.0805027103041	-0.00616758367538	NA	NA	NA	NA
KLF6	NonEssential_Genes	10180	16304	NA	NA	13.11	84.744469870328	ENST00000497571.1	-0.00149555068712	-0.0283238430327	NA	NA	NA	NA
CACUL1	NonEssential_Genes	4585	14359	NA	NA	12.42	100	ENST00000369151.3	0.00892041764785	-0.0801149869314	NA	NA	1.017629763	0.658373981
CYBA	NonEssential_Genes	13068	2210	NA	NA	95.39	93.3431177272251	ENST00000261623.3	0.0735831163199	0.00868619871727	NA	NA	NA	NA
DAB2	NonEssential_Genes	9450	6036	NA	NA	8.82	81.6326530612245	ENST00000320816.6	0.0349322282561	-0.0307896642904	NA	NA	NA	NA
QSOX2	NonEssential_Genes	8814	10357	NA	NA	18.14	97.6295479603087	ENST00000358701.5	0.0758748124141	0.0741939331945	NA	NA	NA	NA
CMTR1	NonEssential_Genes	15240	NA	NA	NA	20.78	90.1828681424447	ENST00000373451.4	-0.0860025497625	-0.0998913394835	1.268487769	4.478514039	1.215757572	4.156613655
RAD54L2	NonEssential_Genes	1255	2017	NA	NA	9.64	99.7925311203319	ENST00000409535.2	0.0126246220261	-0.0282480645592	NA	NA	NA	NA
HEY1	NonEssential_Genes	5330	10003	NA	NA	5.93	83.6424957841484	ENST00000354724.3	-0.0114023825283	0.0460264520442	NA	NA	NA	NA
CLCF1	NonEssential_Genes	11823	15073	NA	NA	10.57	96.6887417218543	ENST00000312438.7	0.0487959423299	0.0180264972585	NA	NA	NA	NA
TMEM184B	NonEssential_Genes	6161	12296	NA	NA	17.57	93.1701764371087	ENST00000361906.3	-0.01401886956	-0.0763648115132	NA	NA	NA	NA
GALNT2	NonEssential_Genes	3271	2390	NA	NA	134.9	99.8739807264641	ENST00000366672.4	0.0398951288701	-0.00351607211531	NA	NA	NA	NA
IBTK	NonEssential_Genes	6819	2963	NA	NA	15.03	96.8729208250166	ENST00000306270.7	8.10890539966e-05	0.00664989105425	NA	NA	NA	NA
ST6GALNAC4	NonEssential_Genes	7346	6703	NA	NA	10.79	94.2539388322521	ENST00000335791.5	-0.0264791067294	0.04080340294545	NA	NA	NA	1.433282419
DESI1	NonEssential_Genes	9805	14724	NA	NA	16.37	100	ENST00000263256.6	-0.0599310039019	0.0462211488048	NA	NA	NA	NA
GLO1	NonEssential_Genes	2065	620	NA	NA	92.49	100	ENST00000373365.4	0.0483054684951	-0.0381236653757	NA	NA	NA	NA
GNA12	NonEssential_Genes	10236	15250	NA	NA	10.77	86.0724233983287	ENST00000275364.3	0.00845999322241	0.0226742430883	NA	NA	NA	NA
BCL9L	NonEssential_Genes	7386	15767	NA	NA	10.72	80.5970149253731	ENST00000334801.3	-0.0292492263996	-0.0327883852011	NA	NA	NA	NA
CHAMP1	NonEssential_Genes	16644	12904	NA	NA	26.35	98.8614800759013	ENST00000361283.1	0.0447763949576	-0.0130043510593	NA	NA	1.55815488	1.336767906
SH3PXD2B	NonEssential_Genes	13532	3938	NA	NA	8.36	91.7464114832536	ENST00000311601.5	0.083148856552	0.0032975184681	NA	NA	NA	NA
MAGEH1	NonEssential_Genes	2215	NA	NA	NA	6.87	100	ENST00000342972.1	0.0804441950422	0.0560738593631	NA	NA	1.029897887	0.702444898
HIPK2	NonEssential_Genes	NA	NA	NA	NA	26.1	87.3563218390805	ENST00000406875.3	-0.069694337696	-0.06958614546385	NA	NA	NA	NA
SNX15	NonEssential_Genes	12258	13287	NA	NA	12.38	85.1373182552504	ENST00000377244.3	-0.070723169076	-0.084539360502	NA	NA	NA	NA
