replicate_ID,DepMap_ID,pDNA_batch,passes_QC
SNU620-311cas9-RepB-p6_batch4,ACH-000325,4,True
SNU-1-311Cas9_RepA_p6_batch3,ACH-000932,3,True
NCIH1666-311Cas9_RepB_p6_batch3,ACH-000448,3,True
TEN-311Cas9_RepA_p6_batch3,ACH-000397,3,True
A2780-311cas9 Rep A p6_batch2,ACH-000657,2,True
CME-1-311CAS9_RepB_p6_batch3,ACH-001322,3,True
LPS853-RepA-p5_batch4,ACH-001802,4,True
SNU-216-311cas9_RepB_p4_batch3,ACH-000466,3,True
GCT-311Cas9_RepB_p6_batch3,ACH-000835,3,True
JJN-3-311Cas9_RepA_p5_batch3,ACH-000653,3,True
PLCPRF5-311Cas9_RepB_p6_batch3,ACH-001318,3,True
MFM223-311cas9-RepB-p6_batch4,ACH-001819,4,True
NCI-H2030-311Cas9 Rep B p6_batch3,ACH-000521,3,True
SCC3-311cas9-RepB-p6_batch4,ACH-001642,4,False
UMUC9-311Cas9_RepB_p6_batch3,ACH-001416,3,True
SK-N-BE_2_-311Cas9 Rep B p6_batch3,ACH-000312,3,True
OVISE-311cas9 Rep C p6_batch2,ACH-000527,2,True
Rh28-311Cas9_RepA_p5_batch3,ACH-001740,3,True
SCLC22H-311cas9-RepB-p6_batch4,ACH-001386,4,True
PEA1-311cas9_RepA_p6_batch3,ACH-001628,3,True
DLD1-311Cas9_RepB_p7_batch2,ACH-001061,2,True
HCC827GR5-311Cas9_RepB_p5_batch3,ACH-000029,3,True
OCIAML4-311cas9-RepA-p6_batch4,ACH-001613,4,False
CMS-311cas9-RepAB-p6_batch4,ACH-002709,4,False
EFO-27-311Cas9_RepA_p6_batch2,ACH-000936,2,True
A375SKINCJ3-311cas9_RepA_p6_batch3,ACH-002003,3,True
JHH1-311Cas9_RepB_p5_batch3,ACH-000620,3,True
PEDS005TPFAD-311Cas9_RepA_p6_batch2,ACH-001163,2,True
KYSE270-311Cas9_RepB_p6_batch3,ACH-000873,3,True
LXF-289-311cas9 Rep B p6_batch3,ACH-000787,3,True
NH6-311Cas9_RepB_p4_batch3,ACH-000203,3,False
HCC827-311Cas9 Rep B p6_batch3,ACH-000012,3,True
ESS1-311Cas9_RepB_p6_batch3,ACH-000913,3,True
ABC-1-311Cas9 Rep C p5_20150925_batch3,ACH-000528,3,True
SIGM5-311CAS9_RepA_p5_batch3,ACH-000112,3,False
KS-1-311Cas9_RepA_p6_batch3,ACH-000631,3,False
TE11-311cas9_RepA_p6_batch3,ACH-000488,3,True
8-MG-BA-311Cas9_RepB_p5_batch3,ACH-000137,3,True
TE-1 -311Cas9_RepB_p5_batch3,ACH-000647,3,True
UACC62-311Cas9_RepB_p5_batch3,ACH-000425,3,True
SUM102PT-311cas9-RepB-p6_batch4,ACH-001388,4,True
PC3-311cas9_RepA_p6_batch3,ACH-000090,3,False
JHH-6-311Cas9_RepA_p6_batch3,ACH-000217,3,True
KP4-311Cas9 Rep A p7_batch3,ACH-000265,3,True
SNU1544-311cas9-RepB-p4_batch3,ACH-001786,3,True
SF767-311Cas9_RepB_p6_batch3,ACH-000490,3,True
SKMEL-24-311Cas9_RepB_p6_batch3,ACH-000822,3,True
HuH-6-311Cas9_RepB_p6_batch3,ACH-000671,3,True
UWB1289-311cas9-RepB-p5_batch3,ACH-001418,3,True
SNU-8-311Cas9 Rep C p5_batch3,ACH-000460,3,True
TC205-311Cas9_RepB_p6_batch3,ACH-001431,3,True
HEC1-311cas9-RepB-p4_batch4,ACH-001517,4,True
YSCCC-311cas9-RepB-p6_batch3,ACH-001864,3,True
LPS853-RepB-p5_batch3,ACH-001802,3,True
CORL279-311cas9_RepA_p4_batch3,ACH-000257,3,True
MALME-3M-311cas9_RepB_p6_batch3,ACH-000477,3,True
SW1271-311cas9_RepA_p6_batch3,ACH-000890,3,True
HCS2-311cas9-RepB-p6_batch3,ACH-001515,3,True
Ishikawa (Heraklio) 02 ER-311cas9-RepB-p6_batch3,ACH-000961,3,True
VP229-311cas9-RepA-p6_batch4,ACH-001419,4,True
KP-2-311Cas9 Rep C p5_batch3,ACH-000281,3,True
RPE1SS77-311Cas9-RepB-p5_batch4,ACH-002463,4,True
Colo699-311cas9-RepA-p6_batch4,ACH-001041,4,True
YAMATO-311Cas9_RepB_p6_batch3,ACH-001277,3,True
HMC18-311Cas9_RepB_p6_batch3,ACH-000721,3,True
CAL72-311cas9_RepB_p6_batch3,ACH-001715,3,True
JHOS-2-311Cas9_RepA_p6_batch3,ACH-000132,3,True
CAL-29-311Cas9_RepA_p6_batch2,ACH-000142,2,True
MCF7-311cas9_RepA_p4_batch3,ACH-000019,3,True
HS578T-311cas9_RepC_p5_batch2,ACH-000148,2,True
59M-311Cas9_RepB_p4_batch3,ACH-000520,3,True
Kuramochi-311cas9 Rep A p3_batch3,ACH-000524,3,True
T84-311Cas9 Rep D p6_batch3,ACH-000381,3,True
