gene
AAMP (14)
AARS1 (16)
AASDHPPT (60496)
ABCB7 (22)
ABCE1 (6059)
ABCF1 (23)
ABT1 (29777)
ACO2 (50)
ACTL6A (86)
ACTR10 (55860)
ACTR3 (10096)
ACTR6 (64431)
ACTR8 (93973)
ADAT2 (134637)
ADSL (158)
AFG3L2 (10939)
AHCY (191)
AIFM1 (9131)
AKIRIN2 (55122)
ALDOA (226)
ALG1 (56052)
ALG11 (440138)
ALG13 (79868)
ALG14 (199857)
ALG2 (85365)
ALG8 (79053)
ALYREF (10189)
AMD1 (262)
ANAPC10 (10393)
ANAPC11 (51529)
ANAPC15 (25906)
ANAPC4 (29945)
ANAPC5 (51433)
ANKLE2 (23141)
ANLN (54443)
AP2S1 (1175)
AQR (9716)
ARCN1 (372)
ARGLU1 (55082)
ARL2 (402)
ARMC7 (79637)
ARPC4 (10093)
ASCC3 (10973)
ATIC (471)
ATL2 (64225)
ATP13A1 (57130)
ATP1A1 (476)
ATP2A2 (488)
ATP6AP2 (10159)
ATP6V0B (533)
ATP6V0C (527)
ATP6V0D1 (9114)
ATP6V1A (523)
ATP6V1D (51382)
ATP6V1E1 (529)
ATP6V1G1 (9550)
ATR (545)
ATRIP (84126)
ATRX (546)
BARD1 (580)
BCAS2 (10286)
BCCIP (56647)
BCL2L1 (598)
BCS1L (617)
BDP1 (55814)
BET1 (10282)
BIRC5 (332)
BLM (641)
BMS1 (9790)
BNIP1 (662)
BOD1L1 (259282)
BORA (79866)
BPTF (2186)
BRCA1 (672)
BRCA2 (675)
BRD4 (23476)
BRD8 (10902)
BRF1 (2972)
BRIX1 (55299)
BTAF1 (9044)
BUB1B (701)
BUB3 (9184)
BUD13 (84811)
BUD31 (8896)
BYSL (705)
C18orf21 (83608)
C1orf131 (128061)
C9orf78 (51759)
CAD (790)
CARS1 (833)
CCDC115 (84317)
CCDC86 (79080)
CCNA2 (890)
CCNH (902)
CCNK (8812)
CCP110 (9738)
CCT2 (10576)
CCT3 (7203)
CCT4 (10575)
CCT5 (22948)
CCT6A (908)
CCT7 (10574)
CDC123 (8872)
CDC16 (8881)
CDC20 (991)
CDC23 (8697)
CDC37 (11140)
CDC40 (51362)
CDC45 (8318)
CDC5L (988)
CDC6 (990)
CDC7 (8317)
CDC73 (79577)
CDCA5 (113130)
CDIN1 (84529)
CDIPT (10423)
CDK1 (983)
CDK12 (51755)
CDK9 (1025)
CDT1 (81620)
CEBPZ (10153)
CENATAC (338657)
CENPA (1058)
CENPH (64946)
CENPJ (55835)
CENPL (91687)
CENPM (79019)
CENPN (55839)
CENPW (387103)
CEP135 (9662)
CEP152 (22995)
CEP192 (55125)
CEP57 (9702)
CEP85 (64793)
CEP97 (79598)
CFDP1 (10428)
CHAF1A (10036)
CHAF1B (8208)
CHEK1 (1111)
CHERP (10523)
CHMP2A (27243)
CHMP3 (51652)
CHMP4B (128866)
CHMP6 (79643)
CHORDC1 (26973)
CIAO1 (9391)
CINP (51550)
CKAP5 (9793)
CLASRP (11129)
CLNS1A (1207)
CLP1 (10978)
CLTC (1213)
CMPK1 (51727)
CNOT1 (23019)
CNOT2 (4848)
CNOT3 (4849)
COA5 (493753)
COASY (80347)
COG2 (22796)
COG3 (83548)
COG4 (25839)
COG8 (84342)
COPA (1314)
COPB1 (1315)
COPB2 (9276)
COPE (11316)
COPG1 (22820)
COPS2 (9318)
COPS3 (8533)
COPS4 (51138)
COPS6 (10980)
COPZ1 (22818)
COQ4 (51117)
COQ5 (84274)
COX10 (1352)
COX15 (1355)
COX5B (1329)
COX6B1 (1340)
CPSF2 (53981)
CPSF3 (51692)
CPSF6 (11052)
CRCP (27297)
CRLS1 (54675)
CRNKL1 (51340)
CSE1L (1434)
CSNK1A1 (1452)
CSNK2B (1460)
CSTF1 (1477)
CSTF3 (1479)
CTC1 (80169)
CTCF (10664)
CTDP1 (9150)
CTNNBL1 (56259)
CTPS1 (1503)
CTR9 (9646)
CTU1 (90353)
CTU2 (348180)
CUL1 (8454)
CUL2 (8453)
CWC22 (57703)
CWF19L2 (143884)
DAD1 (1603)
DAP3 (7818)
DARS1 (1615)
DARS2 (55157)
DBR1 (51163)
DCAF7 (10238)
DCPS (28960)
DCTN2 (10540)
DCTN3 (11258)
DCTN4 (51164)
DCTN5 (84516)
DDB1 (1642)
DDOST (1650)
DDX18 (8886)
DDX20 (11218)
DDX21 (9188)
DDX23 (9416)
DDX24 (57062)
DDX27 (55661)
DDX39B (7919)
DDX3X (1654)
DDX46 (9879)
DDX47 (51202)
DDX49 (54555)
DDX51 (317781)
DDX54 (79039)
DDX55 (57696)
DDX56 (54606)
DDX59 (83479)
DDX6 (1656)
DENR (8562)
DGCR8 (54487)
DHDDS (79947)
DHFR (1719)
DHX15 (1665)
DHX33 (56919)
DHX35 (60625)
DHX36 (170506)
DHX38 (9785)
DHX8 (1659)
DHX9 (1660)
DIDO1 (11083)
DIMT1 (27292)
DIS3 (22894)
DKC1 (1736)
DLD (1738)
DLST (1743)
DMAP1 (55929)
DNAAF10 (116143)
DNAJA3 (9093)
DNAJC11 (55735)
DNAJC2 (27000)
DNAJC9 (23234)
DNM1L (10059)
DNM2 (1785)
DNMT1 (1786)
DNTTIP2 (30836)
DONSON (29980)
DPH5 (51611)
DR1 (1810)
DSN1 (79980)
DTL (51514)
DTYMK (1841)
DYNC1H1 (1778)
DYNLRB1 (83658)
E4F1 (1877)
EBNA1BP2 (10969)
ECD (11319)
ECT2 (1894)
EEF1A1 (1915)
EEF2 (1938)
EEFSEC (60678)
EFTUD2 (9343)
EHMT1 (79813)
EIF1 (10209)
EIF1AD (84285)
EIF2B1 (1967)
EIF2B2 (8892)
EIF2B3 (8891)
EIF2B4 (8890)
EIF2B5 (8893)
EIF2S1 (1965)
EIF2S3 (1968)
EIF3A (8661)
EIF3B (8662)
EIF3D (8664)
EIF3I (8668)
EIF3J (8669)
EIF3M (10480)
EIF4A1 (1973)
EIF4A3 (9775)
EIF4E (1977)
EIF4G1 (1981)
EIF5 (1983)
EIF5B (9669)
EIF6 (3692)
ELAC2 (60528)
ELL (8178)
ELP2 (55250)
ELP4 (26610)
ELP5 (23587)
ELP6 (54859)
EMC3 (55831)
ENO1 (2023)
EPRS1 (2058)
ERCC2 (2068)
ERCC3 (2071)
ERCC4 (2072)
ESF1 (51575)
ETF1 (2107)
EWSR1 (2130)
EXOC1 (55763)
EXOC2 (55770)
EXOC4 (60412)
EXOC5 (10640)
EXOSC1 (51013)
EXOSC10 (5394)
EXOSC2 (23404)
EXOSC3 (51010)
EXOSC5 (56915)
EXOSC7 (23016)
EXOSC8 (11340)
EXOSC9 (5393)
FAM210A (125228)
FAM50A (9130)
FAM98B (283742)
FARSA (2193)
FARSB (10056)
FBL (2091)
FCF1 (51077)
