"rank_cctop","rank_flash","rank_cpick","rank_chopchop","rank_crisprverse","lfc"
10,6,18,23,4,-1.219
37,35,2,53,1,-1.698
127,60,14,103,2,-1.766
65,26,29,47,5,-1.024
69,36,136,112,59,0.207
43,12,29,46,66,-1.454
8,1,5,1,127,-0.242
12,7,52,25,96,-0.881
23,3,15,2,21,-0.414
199,106,70,255,3,-1.896
383,337,17,452,5,-1.612
108,15,184,66,223,0.194
52,7,141,22,50,-0.614
16,4,5,13,3,-0.073
37,33,17,43,47,0.052
121,45,53,102,12,0.158
88,84,122,115,66,0.092
86,35,28,49,1,-2.201
106,16,40,136,22,-1.445
124,108,24,127,7,-1.443
212,117,238,127,114,-0.441
6,2,98,1,54,-1.156
271,253,52,226,10,-1.856
56,18,67,42,23,-0.084
28,42,39,35,24,0.062
16,13,69,26,20,-0.042
23,5,118,48,95,-1.033
105,24,33,54,26,-1.08
123,68,37,127,155,-1.428
376,292,377,356,9,-1.677
24,6,1,6,30,-1.876
17,3,4,8,1,-2.126
74,2,1,27,2,-1.674
9,1,13,82,41,-1.372
1,1,2,6,5,-1.458
51,11,29,33,25,-0.908
58,92,60,39,6,-1.133
423,405,450,476,17,-1.435
39,3,22,28,151,-0.952
197,122,250,320,12,-0.633
8,1,96,9,5,-1.705
523,176,563,191,526,-0.351
281,60,342,366,116,-1.027
496,165,538,804,11,-0.936
64,8,27,74,5,-1.399
242,202,28,208,7,-1.599
114,46,58,151,62,-1.779
91,47,43,138,75,-1.313
406,351,29,277,61,-1.225
460,375,479,429,78,-1.074
1,1,10,28,71,-1.532
53,11,42,16,9,-0.749
172,134,71,156,24,-0.49
12,5,4,40,2,-1.873
123,98,69,91,22,0.121
40,11,47,30,16,-0.541
60,6,31,43,15,-0.252
152,142,85,174,62,0.023
170,151,73,173,63,-0.084
8,3,41,28,69,-0.837
80,30,68,77,24,-1.064
19,5,17,49,4,-1.273
18,1,16,46,46,-0.253
235,195,41,218,232,-1.489
41,3,81,37,4,-2.322
374,289,49,371,7,-1.563
296,97,37,216,9,-1.325
169,90,4,215,2,-0.354
360,31,3,484,6,-1.371
97,11,9,109,1,-2.252
12,2,1,16,9,-1.665
99,12,6,77,11,-1.574
129,110,46,135,397,-0.992
215,101,30,212,65,-0.518
79,26,40,51,58,-0.675
305,277,34,213,3,-1.157
36,9,58,12,33,-0.684
31,6,1,25,1,-1.639
26,7,48,35,3,-1.151
161,29,13,229,11,-1.482
209,155,24,139,9,-1.357
30,18,37,78,8,-1.208
170,154,16,160,15,-1.184
168,152,55,177,54,-1.23
12,3,15,20,56,-1.052
9,15,14,6,7,-1.423
8,14,12,5,1,-2.16
14,19,5,15,4,-2.317
39,1,6,18,1,-2.108
41,39,37,45,10,-2.173
45,41,10,51,7,-1.362
10,6,11,12,11,-0.689
24,23,5,17,8,-1.277
40,4,3,14,1,-1.902
57,3,1,24,1,-1.401
25,2,20,39,5,-0.661
6,1,1,3,4,-1.132
40,78,12,32,14,-0.859
52,28,33,39,2,-1.816
40,12,4,37,4,-1.565
57,52,5,56,1,-2.196
10,1,7,2,45,-0.632
13,42,1,22,1,-0.705
3,1,2,10,345,-1.852
382,310,59,370,123,-1.047
9,2,41,4,349,-1.227
79,32,35,64,86,-1.336
10,5,15,14,16,-1.335
91,73,55,100,4,-2.323
90,21,8,51,31,-0.975
259,225,36,310,42,-1.735
244,218,25,225,38,-1.079
119,43,11,52,17,-1.791
158,31,28,377,44,-1.089
34,3,7,8,69,-1.897
229,67,61,205,87,-1.293
77,155,99,82,19,-1.557
3,2,5,10,79,-1.992
85,76,19,80,6,-1.253
91,79,42,86,80,-1.94
49,24,30,52,3,-1.439
79,4,6,53,2,-1.81
75,30,1,99,7,-1.378
182,31,66,97,72,0.137
127,126,27,74,12,-1.064
99,26,13,119,65,-0.981
178,75,229,120,14,-0.995
179,66,20,135,2,-1.629
88,10,1,118,375,-1.322
43,15,10,57,2,-1.271
301,252,39,297,13,-1.722
63,12,15,25,21,-2.053
16,2,2,1,307,-1.549
260,232,273,153,19,-1.694
200,70,79,84,55,-0.929
248,234,282,223,4,-1.427
46,5,43,194,351,-0.851
51,9,5,36,71,-2.023
31,38,40,51,11,-1.846
13,12,3,22,6,-1.504
8,1,14,6,17,-1.797
238,121,287,232,150,-1.048
346,312,21,377,28,-1.833
92,13,5,29,38,-1.265
310,302,90,270,44,-1.732
232,195,10,241,30,-0.802
146,46,78,103,5,-1.815
37,18,55,25,11,-1.307
255,208,264,255,90,-0.722
9,2,3,16,4,-1.703
29,4,7,27,14,-2.001
278,236,61,274,9,-1.308
111,24,52,121,24,-2.064
252,100,83,461,37,-0.974
246,244,28,180,31,-0.911
439,345,91,386,6,-0.767
359,311,373,384,231,-0.007
10,1,18,23,31,-1.088
80,31,33,97,86,-0.913
119,58,22,70,33,-0.611
152,131,28,164,47,-1.628
417,356,66,409,8,-1.817
3,1,11,47,15,-1.539
33,4,7,70,57,-0.326
24,3,37,52,28,-0.891
602,563,37,695,8,-1.586
138,51,8,170,9,-1.859
175,13,76,89,45,-0.78
2,1,1,1,3,-1.756
10,3,7,8,3,-1.216
26,6,19,34,7,-0.514
5,23,1,29,1,-0.964
4,26,20,24,14,-0.666
36,10,33,23,23,-0.266
5,1,16,4,104,-1.986
39,2,44,8,9,-1.826
11,1,2,71,1,-2.504
49,42,3,22,2,-1.837
95,28,48,253,22,-1.713
491,441,523,739,422,-0.528
44,10,141,147,16,-0.932
361,150,406,394,55,-0.289
30,2,3,14,3,-1.549
97,86,39,111,5,-0.922
95,6,23,31,25,-0.227
565,552,583,716,184,-1.186
35,4,37,1,66,-1.738
150,17,55,80,101,-1.26
27,11,4,38,21,-1.308
17,27,2,50,6,-1.482
36,52,21,106,2,-1.882
193,54,65,151,8,-1.376
4,16,28,18,12,-1.294
17,3,13,22,15,-1.233
9,7,22,33,7,-1.282
7,1,10,17,6,-0.811
39,32,3,9,1,-1.692
28,21,28,294,21,-0.789
131,144,12,176,26,-0.181
136,70,84,61,271,-1.733
246,202,90,214,15,-1.02
22,37,1,40,124,-0.931
164,131,27,138,7,-1.889
8,2,66,183,1,-1.24
5,1,71,2,24,-1.584
19,5,55,21,9,-1.59
13,3,109,4,6,-2.105
7,77,105,12,179,-0.281
232,82,271,176,44,-1.695
277,101,303,224,91,-0.897
157,94,51,115,167,-0.992
55,1,1,55,1,-2.467
113,4,38,74,43,-0.691
192,53,8,185,3,-1.655
72,15,24,102,11,-0.924
4,3,5,47,2,-1.5
29,8,18,41,13,-1.635
27,5,17,3,38,0.006
11,2,15,32,1,-1.754
110,81,56,121,33,-1.098
3,2,14,1,12,-0.901
112,41,19,91,276,-1.036
6,4,7,120,35,-0.819
88,14,34,118,52,-1.606
380,357,9,295,46,-0.708
342,338,386,336,67,-1.212
262,109,318,294,69,-1.675
42,8,6,146,14,-1.58
113,29,5,97,3,-2.054
70,75,91,86,21,-0.539
3,1,19,1,5,-0.324
96,91,54,68,17,-0.369
53,23,87,67,71,-0.118
1,1,101,30,82,-1.325
298,113,35,192,22,-1.547
41,10,129,87,9,-1.61
106,21,4,66,32,-1.529
5,17,13,19,7,-1.7
39,2,117,34,115,-0.08
194,23,41,173,26,-0.325
186,77,7,138,5,-0.832
96,24,160,113,63,-0.217
8,2,3,22,23,-1.811
5,3,8,14,7,-1.842
32,7,28,3,103,-0.16
40,10,24,114,9,-1.127
29,2,25,22,9,-1.332
16,7,5,14,10,-1.397
4,1,3,2,4,-1.619
84,24,16,82,32,-0.183
6,1,104,339,145,-0.693
74,3,62,2,30,-0.618
10,1,2,2,1,-1.714
9,1,13,9,2,-1.785
50,8,24,232,53,-1.415
39,10,18,43,1,-1.538
2,2,10,24,4,-1.832
82,68,19,65,11,-1.675
56,14,28,39,21,-0.872
2,23,1,12,5,-2.506
35,13,20,36,6,-2.067
39,31,40,37,1,-1.584
6,3,16,18,10,-1.188
5,2,15,5,5,-1.36
29,26,35,25,4,-1.717
21,1,7,4,5,-1.01
7,3,13,14,12,-0.882
46,11,9,13,3,-1.588
1,2,1,1,1,-1.496
4,1,6,105,11,-0.612
5,3,22,7,37,-0.448
13,7,19,19,14,-1.227
203,97,256,332,498,-0.959
327,327,22,365,21,-1.401
4,1,5,2,20,-1.093
43,23,11,61,7,-1.18
24,7,23,73,25,-1.423
37,14,2,18,21,-1.669
181,167,40,135,43,-1.877
156,152,43,165,4,-1.148
74,24,44,105,2,-1.111
107,39,33,89,15,-1.181
212,28,276,204,4,-1.708
37,7,6,91,48,-1.386
367,191,66,382,72,-2.213
293,170,7,359,24,-2.162
13,20,7,36,2,-1.263
14,12,2,17,1,-2.024
118,102,85,106,59,0.035
113,97,47,142,25,0.052
43,27,38,18,2,-0.271
46,8,17,34,137,-0.258
4,30,4,21,5,-2.174
5,2,5,22,2,-2.007
7,1,1,11,5,-0.751
53,2,8,1,214,-1.93
21,4,45,59,26,-1.722
150,78,54,107,21,-1.394
21,9,34,20,29,-0.852
48,27,42,56,24,-0.581
13,3,9,14,3,-0.772
62,58,10,69,91,-0.351
28,21,28,32,5,-1.57
8,2,3,23,8,-1.435
164,122,28,163,4,-0.403
37,56,26,23,10,-2.176
80,81,54,88,14,-1.508
35,26,17,36,1,-1.575
39,28,29,26,6,-1.569
7,1,9,8,2,-1.292
19,7,6,14,5,-1.352
14,81,104,9,135,0.141
20,84,107,19,122,-0.056
90,27,6,105,7,-1.672
2,2,14,6,11,-0.649
6,1,30,2,22,-1.045
27,14,35,36,58,-1.199
35,3,11,17,4,-1.53
52,17,5,45,4,-1.333
52,45,26,60,12,-1.935
70,54,37,55,8,-1.267
3,22,1,29,1,-1.6
10,2,42,8,5,-1.204
98,87,56,124,55,-0.914
139,105,58,135,6,-1.649
89,30,80,60,16,-1.167
35,19,33,44,8,-1.153
55,32,10,94,14,-0.975
4,1,39,12,16,-0.908
29,9,51,14,13,-1.228
3,2,71,8,25,-0.687
45,21,77,1,109,-0.628
11,1,67,11,3,-1.288
96,79,7,98,10,-1.071
54,26,32,16,27,-0.026
9,2,1,6,6,-1.082
107,82,46,84,16,-0.915
34,13,94,74,59,-1.517
420,346,44,411,70,-1.002
1,1,1,9,6,-2.086
142,80,46,89,8,-1.156
150,130,40,160,4,-2.155
107,106,138,142,98,0.26
162,138,29,169,160,-1.53
117,41,70,132,20,-1.6
2,1,13,92,3,-1.64
12,33,38,11,13,-1.512
54,52,16,61,5,-1.793
27,38,4,39,9,-1.758
70,55,39,74,2,-0.564
1,22,2,19,1,-1.428
1,1,1,1,4,-1.839
38,15,3,85,6,-1.966
22,3,17,8,10,-0.594
220,197,9,187,5,-1.945
14,92,110,4,37,-1.564
4,1,103,290,73,-1.709
7,4,104,27,9,-1.161
4,1,3,59,35,-1.54
70,22,1,187,5,-1.967
55,9,145,125,158,-1.243
219,10,280,129,3,-2.182
39,29,7,38,2,-1.297
18,8,23,12,14,-1.073
5,2,2,7,3,-1.622
31,22,2,29,1,-2.388
10,1,8,5,10,-0.684
2,1,20,1,23,-0.932
193,73,236,101,51,-0.972
15,9,109,182,133,-0.335
1,2,9,2,9,-1.143
159,126,179,135,39,0.121
63,9,2,22,4,-1.803
6,2,7,9,6,-1.313
83,58,9,25,1,-1.966
22,8,14,7,3,-1.098
75,6,14,34,15,-0.973
117,88,4,93,3,-0.938
19,3,27,47,5,-0.073
74,73,29,129,15,0.007
4,1,8,1,3,0.018
4,2,1,7,1,-0.947
7,8,7,9,23,-0.495
32,6,19,20,17,-1.29
135,58,55,142,25,-1.284
56,7,64,47,77,-0.862
340,265,71,310,14,-1.367
203,82,5,186,577,-1.553
2,2,34,26,52,-1.373
150,40,26,217,60,-1.287
6,31,23,19,17,-0.694
14,46,36,10,31,-0.235
15,47,5,36,5,-1.283
24,51,51,29,16,-1.566
9,13,17,15,10,-0.417
6,1,12,7,11,-0.286
36,8,70,70,13,-0.892
188,176,35,179,9,-1.268
3,1,4,1,2,-1.173
21,4,19,6,32,-0.97
317,317,317,309,157,0.218
190,172,224,134,132,0.112
24,2,9,27,14,-1.008
9,59,19,19,33,-0.589
44,3,1,40,2,-1.51
16,1,8,18,6,-1.226
340,277,341,332,108,-0.216
73,27,145,112,28,-0.923
247,223,57,274,17,-1.787
16,2,25,30,13,-1.887
253,85,61,192,6,-1.689
9,1,2,23,14,-1.82
116,48,60,103,83,-1.816
89,45,13,149,187,-1.236
191,159,51,176,18,-0.736
152,128,59,106,86,0.025
54,12,56,76,9,-1.295
1,2,2,3,2,-1.513
12,10,13,6,10,-1.388
17,13,7,24,9,-0.841
111,32,12,130,13,-1.752
133,29,10,46,1,-2.413
5,1,11,16,10,-1.757
19,6,44,30,33,-1.953
33,14,50,86,29,-1.543
124,45,187,119,96,-1.419
52,22,41,73,25,0.224
13,5,10,20,40,-0.265
51,27,4,30,97,-0.631
97,78,30,94,18,-0.78
69,32,2,58,10,-1.02
61,24,67,47,48,0.115
68,27,6,56,6,-1.292
1,2,16,89,19,-0.691
25,17,42,92,15,-1.905
24,6,1,16,1,-2.2
18,3,24,11,10,-1.441
116,28,116,145,13,-1.548
17,20,8,9,3,-1.531
8,2,5,43,5,-1.991
25,11,4,14,4,-2.041
10,4,3,13,1,-1.885
140,81,5,273,23,-1.721
8,2,4,1,13,-1.629
173,170,18,74,14,-2.118
31,5,119,90,105,-0.878
161,22,38,552,34,-1.567
43,12,1,45,527,-2.147
1,1,101,1,24,-1.645
88,13,9,88,8,-1.278
226,294,44,236,20,-1.366
62,3,151,172,1,-2.177
178,148,25,152,10,-1.923
130,126,14,119,38,-1.357
67,46,36,113,1,-1.462
5,1,24,5,45,-1.286
21,1,29,5,37,-0.657
43,5,12,42,6,-0.527
150,131,83,147,2,-1.486
8,1,106,1,218,-0.228
22,6,40,24,112,-0.798
133,39,181,91,90,-0.388
22,22,31,22,22,-0.91
7,2,5,11,3,-1.153
14,9,3,19,1,-1.337
2,1,1,10,4,-2.453
120,98,5,100,6,-2.132
3,47,15,29,13,-1.446
14,1,1,96,3,-1.64
317,251,53,317,68,-0.612
392,359,405,248,13,-0.019
302,140,333,192,509,-0.569
9,5,5,19,6,-1.452
2,4,1,7,3,-1.122
15,10,6,41,4,-0.498
18,3,2,4,2,-1.193
114,48,51,104,26,-1.174
175,61,208,158,87,-0.587
765,719,780,410,107,-0.871
174,32,234,31,111,-1.48
367,63,5,136,1126,-2.045
888,781,895,805,16,-1.925
72,21,6,34,5,-2.085
137,129,69,90,12,-1.394
108,51,30,222,17,-1.899
199,36,32,105,11,-1.565
53,17,12,70,2,-0.667
38,4,11,18,162,-0.183
11,13,2,20,2,-1.938
37,35,38,30,17,-0.382
31,30,1,41,3,-1.37
6,9,12,15,7,-1.408
194,11,4,36,22,-1.272
125,188,74,212,2,-1.695
18,3,66,40,44,-1.485
73,26,40,213,18,-1.486
