"rank_cctop","rank_flash","rank_cpick","rank_chopchop","rank_crisprverse","lfc"
5,2,36,7,4,-0.601
15,11,5,53,16,-0.209
35,53,87,45,9,-0.671
117,104,13,101,10,-1.137
140,116,30,121,79,-0.649
12,14,1,54,15,-0.427
128,130,11,83,26,-1.065
7,42,12,24,43,-0.832
78,43,9,82,31,-0.927
386,339,32,402,42,-2.605
463,373,77,442,14,-2.252
318,304,31,247,21,-2.949
382,336,79,389,11,-1.609
75,46,10,218,4,-1.192
2,3,2,53,6,-0.992
413,352,425,395,110,-0.186
10,1,108,1,1,-2.556
33,2,127,227,280,-2.658
103,67,4,103,1,-0.822
150,139,167,124,194,-0.67
109,14,52,48,3,-0.714
19,5,17,49,4,-1.025
3,31,3,2,6,-0.293
2,1,101,11,11,-0.026
58,37,71,97,5,-1.215
21,79,46,24,10,-1.024
7,1,10,17,6,-0.29
48,15,23,15,107,0.021
17,3,13,22,15,-1.256
99,105,21,101,3,-2.687
12,36,80,48,88,-1.384
40,48,49,61,20,-0.495
57,25,74,39,26,-0.69
16,6,15,14,9,-0.935
81,70,100,69,97,0.084
56,56,4,91,8,-1.873
10,65,10,10,34,0.238
164,204,164,178,32,-0.101
158,133,158,92,16,-0.041
3,1,3,1,17,0.597
55,45,55,48,25,-0.251
95,105,95,131,33,-0.705
144,127,144,139,42,0.433
253,85,61,192,6,-1.189
188,75,18,156,15,-1.969
42,12,5,63,1,-2.653
25,3,4,69,169,-3.232
29,58,112,31,17,-0.936
9,1,2,23,14,-1.677
10,44,10,1,11,-0.866
231,188,92,189,26,-1.397
55,3,26,25,99,-2.033
31,28,94,16,38,-0.529
5,1,71,2,24,-1.106
95,22,17,142,2,-0.037
8,2,66,183,1,-0.622
27,4,7,81,4,-2.918
112,104,89,89,15,-1.362
121,160,22,109,35,-0.608
89,27,1,96,14,-0.971
5,40,21,3,21,-1.33
89,82,33,112,19,-0.473
175,135,7,158,2,-1.694
53,5,36,41,15,-0.181
48,153,3,130,16,-1.255
2,36,11,6,3,-1.407
164,171,86,146,18,-1.518
90,27,6,105,7,-1.23
126,137,170,128,64,-0.966
23,86,12,4,19,-1.517
242,193,79,217,67,-0.925
95,15,57,148,10,-2.35
62,59,46,69,31,-0.768
1,14,63,5,32,-0.463
3,6,2,1,2,-2.724
180,217,207,154,69,-0.119
153,27,3,151,1,-0.727
18,7,104,17,139,-0.446
55,17,115,23,136,-0.652
105,94,29,82,56,-0.903
47,12,17,83,23,-0.418
16,28,24,16,6,-0.876
36,59,58,62,35,-0.505
133,50,61,82,9,-0.586
146,129,16,152,4,-1.934
38,80,79,137,52,-2.106
4,4,8,9,7,-1.12
170,139,175,150,30,-1.056
109,37,15,48,8,-1.209
124,60,147,83,89,-0.326
49,42,116,27,33,-0.627
237,197,69,210,8,-0.536
68,115,1,85,6,-1.07
18,1,16,46,46,-0.652
59,11,39,70,5,-0.706
165,159,193,212,31,-2.903
15,7,12,69,179,-0.674
41,3,81,37,4,-1.469
87,21,61,112,50,-0.764
140,109,82,108,29,-0.228
121,45,53,102,12,-0.006
123,102,44,154,14,0.003
56,22,52,42,23,0.087
5,3,9,7,1,0.002
16,4,5,13,3,-0.191
11,9,1,12,5,-0.058
120,100,77,104,39,-0.507
8,10,24,26,34,0.376
90,130,59,84,110,-0.276
778,653,784,774,7,-0.619
79,233,58,81,104,-0.803
1002,761,1003,969,71,-2.514
872,698,877,771,117,-3.15
325,194,17,51,8,-0.313
233,278,89,336,195,-0.685
343,161,374,662,65,-0.926
261,84,2,381,59,-1.392
87,72,47,69,17,-0.367
43,23,11,61,7,-0.839
1,5,19,5,49,-0.381
56,19,52,94,10,-1.522
80,31,36,93,8,-2.327
45,27,10,70,2,-2.198
83,69,42,77,43,-1.11
396,336,410,227,54,-1.075
1,1,1,9,6,-1.189
142,80,46,89,8,-0.616
88,47,161,55,56,-1.315
419,448,431,339,196,0.269
138,224,93,476,92,-0.261
66,85,147,59,160,-0.231
406,343,87,362,42,-0.675
442,389,449,449,115,-0.506
358,345,61,360,147,-0.809
14,4,18,63,34,-1.808
411,374,97,337,73,-0.468
359,346,380,395,66,-0.563
461,550,467,377,104,-0.688
7,64,3,15,1,-1.978
416,50,425,511,165,0.223
9,1,13,9,2,-0.571
65,26,45,42,24,-1.448
67,47,11,27,29,-0.378
145,62,56,128,69,-0.265
2,2,10,24,4,-0.819
124,74,68,147,10,-2.368
163,149,176,185,31,-0.537
74,27,80,38,137,-0.044
28,9,8,20,5,-1.122
73,68,27,50,14,-2.614
44,26,20,41,8,-0.919
49,29,47,46,2,-0.216
94,113,71,96,30,-0.24
74,69,23,31,17,-0.592
18,15,4,22,7,-0.549
35,36,28,24,21,0.073
27,27,3,53,2,-1.221
4,1,39,12,16,-0.375
12,16,21,5,19,-0.512
59,35,35,70,10,-0.782
18,26,29,13,18,0.167
65,63,18,63,17,-0.107
83,96,5,76,34,-0.62
40,15,15,41,30,-0.08
36,17,11,35,20,-0.623
6,2,43,12,3,-0.058
153,138,78,160,83,-0.165
190,153,52,179,20,-1.191
178,148,25,152,10,-2.206
67,46,36,113,1,-0.743
157,140,99,66,61,0.275
24,40,4,65,26,-0.181
168,145,12,170,6,-0.619
51,46,18,47,27,0.184
3,25,9,6,9,-1.017
56,50,14,37,13,0.115
11,1,76,1,6,-0.694
39,39,41,29,86,0.211
90,64,29,90,28,-0.207
7,3,10,4,5,0.166
44,17,35,43,83,-0.938
36,7,4,27,11,-1.916
101,88,31,86,1,-0.277
12,1,27,24,82,0.177
110,94,1,92,35,-1.02
57,62,15,50,81,-0.656
82,98,17,88,2,-1.704
6,34,7,12,40,-0.448
60,23,24,62,8,-0.374
5,3,8,14,7,-1.403
28,78,2,61,142,-1.392
202,165,90,156,33,-1.433
216,171,91,198,51,-0.171
3,4,5,1,11,-0.458
196,163,60,190,39,-1.131
