"rank_cctop","rank_flash","rank_cpick","rank_chopchop","rank_crisprverse","lfc"
9,59,71,11,94,-1.759
36,10,2,25,2,0.419
32,4,14,15,11,0.835
55,22,26,36,35,0.19
3,3,38,27,19,0.641
5,2,36,7,4,-0.785
34,85,1,58,55,-1.489
384,338,91,349,52,-1.277
151,58,44,80,65,-3.38
318,304,31,247,21,-1.984
132,37,71,119,44,-0.469
156,218,216,68,345,-0.642
20,7,104,34,115,-3.748
101,57,137,66,123,0.445
54,21,9,13,8,-0.227
109,14,52,48,3,-1.688
19,5,17,49,4,-1.543
18,49,103,5,53,-1.797
17,3,13,22,15,-2.991
9,7,22,33,7,-4.364
96,35,96,62,136,0.808
32,43,32,26,143,0.886
105,20,105,83,123,-0.867
189,146,189,177,22,0.339
9,5,9,82,2,0.042
46,8,46,11,5,0.772
27,26,38,9,70,-2.524
17,6,27,10,88,0.046
9,1,2,23,14,-3.518
118,47,72,43,9,-3.285
90,68,141,57,59,-2.778
55,3,26,25,99,-0.946
30,6,13,19,100,-2.199
90,7,20,59,64,1.132
170,181,83,165,39,-0.063
42,68,118,20,65,-0.84
8,2,66,183,1,-0.12
1,2,9,2,9,-2.56
5,40,21,3,21,-2.846
38,39,11,47,5,-1.906
189,167,87,261,93,0.373
40,43,119,8,101,0.172
112,54,33,70,48,-2.623
1,14,63,5,32,-2.159
3,6,2,1,2,-1.565
54,85,95,62,76,1.452
49,42,116,27,33,-0.076
31,47,113,75,70,-1.502
8,64,67,44,111,-0.242
14,24,1,24,12,-0.822
124,60,147,83,89,0.621
49,25,82,6,7,-2.722
5,55,17,16,84,-1.218
232,224,57,169,28,-1.793
87,21,61,112,50,-0.38
62,49,129,40,66,-1.895
37,32,33,25,67,-1.962
30,5,4,2,30,0.333
45,40,6,29,10,0.912
15,51,83,6,98,0.053
10,17,12,37,22,-1.224
125,103,96,117,24,-0.331
82,89,40,142,166,-0.312
208,31,33,298,12,-1.015
117,56,72,407,10,-1.866
325,194,17,51,8,-0.733
649,200,662,301,51,-1.075
129,11,192,63,37,-0.828
7,36,65,21,44,1.603
36,18,16,56,29,-0.777
45,27,10,70,2,-2.456
52,60,24,49,9,-1.542
3,20,29,9,41,-1.631
372,323,387,345,104,-0.246
358,419,374,243,217,0.065
347,110,89,134,7,0.099
34,13,94,74,59,-0.918
75,16,67,86,19,-1.095
105,97,31,17,79,-0.993
60,5,43,88,12,-0.9
202,125,47,575,68,-1.69
65,54,148,127,51,-2.532
1,1,101,30,82,1.616
141,43,8,109,9,-1.88
93,57,39,110,30,-1.927
39,10,18,43,1,-2.919
103,50,83,45,35,-0.735
77,33,95,28,54,-1.713
44,95,33,29,18,0.489
58,8,35,115,74,0.608
22,48,32,33,81,1.159
21,2,50,7,34,0.297
57,61,97,66,80,-1.95
16,20,56,17,16,-0.623
9,41,31,10,12,0.015
13,12,16,11,11,-0.314
2,40,63,6,39,-0.297
29,9,51,14,13,-1.013
57,61,62,42,32,-0.055
16,6,54,8,27,0.64
32,14,24,21,77,-0.431
27,31,67,107,58,0.466
121,121,70,28,78,-1.394
130,126,14,119,38,-3.492
29,11,7,23,9,-1.747
141,131,28,97,2,-0.984
75,14,19,44,8,-2.065
10,10,12,13,16,0.047
36,7,4,27,11,-2.556
2,31,5,2,14,-0.595
17,37,19,20,26,0.729
21,3,30,7,18,0.154
110,94,1,92,35,-1.271
4,32,29,29,38,-2.347
4,9,101,17,99,-0.834
2,15,10,4,37,-1.924
115,120,162,118,85,0.004
19,16,17,15,41,-2.204
26,24,16,24,24,-0.895
3,4,5,1,11,-2.431
66,15,45,27,20,-1.92
163,55,232,39,36,-3.971
553,503,557,316,326,0.525
97,236,176,240,125,-2.618
90,233,6,69,86,-1.664
38,10,130,34,45,-1.612
62,3,151,172,1,-4.354
6,20,63,23,34,-0.233
64,4,12,21,12,-0.354
53,11,42,16,9,0.232
45,9,30,4,10,-2.132
13,2,2,3,72,0.051
24,51,116,27,61,-1.114
113,37,183,64,50,-0.49
130,55,33,133,32,-1.921
44,5,4,37,1,-2.702
22,3,1,38,25,-2.938
201,64,70,218,56,-2.567
36,133,124,11,154,0.621
19,124,112,7,143,0.781
172,63,13,92,98,-4.246
73,155,151,46,115,-1.804
52,16,52,66,22,0.221
145,31,46,112,95,-1.036
26,58,23,52,107,0.516
317,416,92,321,62,0.372
37,108,30,79,135,0.197
206,78,60,237,112,0.495
128,11,11,59,179,-2.138
315,296,57,193,21,-2.975
288,170,325,628,230,-0.329
53,31,135,73,89,-4.01
25,12,113,161,205,-1.286
361,175,391,321,183,0.371
168,50,27,154,83,-1.852
218,312,11,225,29,-3.139
16,587,115,165,984,-0.428
1162,1148,1186,1087,600,-1.35
66,176,9,631,392,-4.526
924,546,954,635,613,-0.627
1110,1122,1137,878,868,0.464
363,103,424,16,419,-3.346
10,3,104,2,56,-2.121
5,50,102,1,58,1.057
216,103,78,142,70,-2.959
165,233,212,168,317,-0.087
221,137,259,555,147,-3.027
99,53,6,155,43,-2.769
3,33,23,46,65,-3.848
183,242,226,49,326,-0.526
166,47,28,216,10,0.315
507,419,507,449,170,-2.376
318,45,344,167,197,-2.937
385,339,87,394,59,-2.306
54,175,62,115,81,-2.375
103,109,47,207,29,-3.578
56,110,137,37,148,0.975
177,165,217,210,147,-0.498
10,14,108,34,82,-3.235
125,26,2,1,6,-1.698
12,20,110,8,231,-0.086
59,22,139,59,48,-1.328
41,193,146,39,272,1.252
200,145,256,58,185,0.672
148,49,19,183,123,0.135
161,239,223,115,207,-0.057
231,123,280,186,78,-2.377
40,11,145,73,91,-3.069
24,36,117,6,9,-0.669
98,171,55,152,54,-1.814
342,10,4,136,8,-3.877
13,3,3,1,42,-1.219
73,16,18,71,63,-1.303
258,127,47,140,104,0.006
115,53,170,115,118,-0.393
140,139,181,96,112,0.813
12,3,15,20,56,1.776
51,26,54,13,33,-1.533
174,156,57,191,73,-0.746
16,70,108,16,76,-0.21
32,63,83,28,66,-0.388
50,10,93,17,42,-1.555
95,96,44,43,19,0.751
62,112,133,61,70,-0.643
58,111,131,91,28,-2.308
48,85,17,58,37,-0.275
107,39,33,89,15,-2.423
4,7,101,1,123,-0.213
25,8,76,49,57,-0.609
110,108,140,99,52,-0.888
123,147,45,146,51,-3.242
29,64,59,65,46,-0.88
43,10,71,13,8,-2.551
67,11,34,101,46,-3.454
60,12,134,22,196,0.05
239,293,261,251,130,-0.736
39,84,119,323,120,0.138
108,55,41,160,22,-0.713
8,38,83,16,9,-1.534
4,15,21,7,35,-1.115
3,11,24,2,36,0.713
44,2,22,18,13,-0.491
52,93,63,77,34,-3.119
193,193,233,120,138,0.076
46,45,132,374,162,0.396
37,40,11,8,21,-1.256
249,337,278,117,344,1.144
1,35,101,7,212,0.486
287,268,315,210,60,-1.654
193,106,82,194,59,-0.768
67,62,17,320,24,-1.705
333,295,10,312,19,-2.764
164,204,223,39,182,-1.955
14,29,5,10,8,-2.44
58,51,40,52,31,-0.988
