"rank_cctop","rank_flash","rank_cpick","rank_chopchop","rank_crisprverse","lfc"
9,59,71,11,94,0.006
36,10,2,25,2,-1.228
32,4,14,15,11,-0.293
55,22,26,36,35,-0.553
3,3,38,27,19,-1.606
5,2,36,7,4,-0.356
34,85,1,58,55,-1.455
384,338,91,349,52,-2.211
151,58,44,80,65,-2.259
318,304,31,247,21,-2.558
132,37,71,119,44,-2.865
156,218,216,68,345,-0.792
20,7,104,34,115,-1.821
101,57,137,66,123,-0.16
54,21,9,13,8,-0.548
109,14,52,48,3,-0.947
19,5,17,49,4,0.51
18,49,103,5,53,-2.483
17,3,13,22,15,-2.314
9,7,22,33,7,-2.336
96,35,96,62,136,-0.111
32,43,32,26,143,-1.496
105,20,105,83,123,0.616
189,146,189,177,22,0.247
9,5,9,82,2,-0.284
46,8,46,11,5,-0.045
27,26,38,9,70,-1.033
17,6,27,10,88,-0.5
9,1,2,23,14,-1.042
118,47,72,43,9,-1.328
90,68,141,57,59,-1.343
55,3,26,25,99,-2.111
30,6,13,19,100,-2.004
90,7,20,59,64,-0.304
170,181,83,165,39,-1.785
42,68,118,20,65,-1.303
8,2,66,183,1,-0.457
1,2,9,2,9,-1.645
5,40,21,3,21,-2.488
38,39,11,47,5,-2.682
189,167,87,261,93,-2.15
40,43,119,8,101,-2.47
112,54,33,70,48,-1.927
1,14,63,5,32,-2.281
3,6,2,1,2,-2.435
54,85,95,62,76,-0.363
31,47,113,75,70,-0.677
8,64,67,44,111,0
14,24,1,24,12,-1.964
124,60,147,83,89,-1.782
49,25,82,6,7,-2.145
5,55,17,16,84,-2.362
232,224,57,169,28,-2.681
87,21,61,112,50,-0.483
62,49,129,40,66,-1.284
37,32,33,25,67,-1.13
30,5,4,2,30,0.198
45,40,6,29,10,0.627
15,51,83,6,98,0.003
125,103,96,117,24,-0.411
82,89,40,142,166,-0.875
208,31,33,298,12,-0.684
117,56,72,407,10,-2.701
325,194,17,51,8,-0.578
649,200,662,301,51,-1.027
129,11,192,63,37,-0.869
7,36,65,21,44,-1.205
36,18,16,56,29,-2.409
45,27,10,70,2,-1.288
52,60,24,49,9,-0.768
3,20,29,9,41,-1.256
372,323,387,345,104,-2.965
358,419,374,243,217,-0.025
347,110,89,134,7,-1.818
34,13,94,74,59,-0.938
75,16,67,86,19,-1.512
105,97,31,17,79,-1.372
60,5,43,88,12,-0.459
202,125,47,575,68,-0.571
65,54,148,127,51,-1.919
1,1,101,30,82,-1.57
141,43,8,109,9,-0.226
93,57,39,110,30,-0.63
39,10,18,43,1,-0.773
103,50,83,45,35,0.025
77,33,95,28,54,-0.249
44,95,33,29,18,-2.575
58,8,35,115,74,0.127
22,48,32,33,81,-0.322
21,2,50,7,34,0.203
57,61,97,66,80,-1.17
16,20,56,17,16,-0.419
9,41,31,10,12,-0.753
13,12,16,11,11,-0.808
2,40,63,6,39,-1.039
29,9,51,14,13,-1.146
57,61,62,42,32,-1.383
16,6,54,8,27,-0.273
32,14,24,21,77,-1.376
27,31,67,107,58,-0.736
121,121,70,28,78,-0.219
130,126,14,119,38,-2.338
29,11,7,23,9,-2.812
141,131,28,97,2,-1.082
75,14,19,44,8,-1.103
10,10,12,13,16,-0.261
36,7,4,27,11,-0.89
2,31,5,2,14,-1.286
17,37,19,20,26,-0.062
21,3,30,7,18,-0.381
110,94,1,92,35,-0.056
4,32,29,29,38,-1.047
2,15,10,4,37,-1.084
115,120,162,118,85,-0.587
19,16,17,15,41,-2.879
26,24,16,24,24,-1.338
3,4,5,1,11,-1.797
66,15,45,27,20,0.173
163,55,232,39,36,-2.573
553,503,557,316,326,-0.341
97,236,176,240,125,-1.908
90,233,6,69,86,-1.226
38,10,130,34,45,-0.329
62,3,151,172,1,-1.808
6,20,63,23,34,-0.679
64,4,12,21,12,-2.692
53,11,42,16,9,-1.113
45,9,30,4,10,-1.588
13,2,2,3,72,-2.335
24,51,116,27,61,-1.661
130,55,33,133,32,-1.899
44,5,4,37,1,-2.63
22,3,1,38,25,-0.608
201,64,70,218,56,-1.575
36,133,124,11,154,-0.549
19,124,112,7,143,-0.375
172,63,13,92,98,-2.791
73,155,151,46,115,-2.267
52,16,52,66,22,0.266
145,31,46,112,95,-1.547
26,58,23,52,107,-0.029
317,416,92,321,62,-0.378
37,108,30,79,135,-0.528
206,78,60,237,112,-0.17
128,11,11,59,179,-0.846
315,296,57,193,21,-0.801
288,170,325,628,230,-2.31
25,12,113,161,205,0.118
168,50,27,154,83,-1.205
