"rank_cctop","rank_flash","rank_cpick","rank_chopchop","rank_crisprverse","lfc"
11,21,102,16,140,-0.895
41,28,45,26,46,-0.737
16,5,78,174,47,-1.388
1,60,73,18,29,-0.63
5,2,36,7,4,-1.291
2,3,2,53,6,-0.882
4,72,7,29,68,-0.979
25,159,120,43,148,-0.403
29,163,124,65,170,0.494
31,165,46,2,84,-2.078
10,43,43,14,61,-1.308
68,44,73,44,32,-0.373
3,31,3,2,6,-0.782
50,41,57,65,68,-0.224
2,1,101,11,11,-1.334
15,5,2,12,45,-1.043
6,21,9,110,10,-0.769
56,56,4,91,8,-1.348
3,13,1,8,4,-0.296
120,115,120,45,9,-0.291
105,20,105,83,123,0.305
41,14,41,88,20,0.048
48,10,48,47,87,-0.059
3,1,3,1,17,0.461
27,26,38,9,70,-1.477
2,87,22,3,29,-1.061
11,92,102,50,130,-0.008
9,1,2,23,14,-2.021
4,89,19,5,98,-0.778
19,5,55,21,9,-3.637
1,45,101,7,49,-1.54
80,90,40,75,71,-0.809
25,57,31,13,115,-2.016
68,43,87,72,62,-0.917
84,154,12,75,17,-1.712
15,12,2,10,5,-2.733
14,81,104,9,135,0.45
55,102,126,21,121,-1.711
46,8,24,46,17,-1.198
1,14,63,5,32,-0.581
6,31,23,19,17,-0.89
7,36,22,6,25,-4.255
37,5,4,8,54,-1.874
12,44,30,13,42,-0.348
5,63,50,1,69,0.117
16,3,105,17,31,-0.551
15,67,34,18,5,-0.336
8,64,67,44,111,0.302
71,96,51,105,82,-0.751
68,115,1,85,6,-1.766
65,33,2,13,18,-0.512
5,55,17,16,84,-1.094
35,70,30,86,47,-1.979
18,1,16,46,46,-0.547
15,51,83,6,98,0.043
11,9,1,12,5,0.101
4,46,42,24,88,-0.404
7,48,103,8,16,-0.489
9,6,104,19,50,-0.021
24,295,115,45,350,-0.431
1,287,26,6,240,-1.898
32,301,27,105,115,-0.241
18,1,112,24,958,-0.466
129,11,192,63,37,-0.586
37,14,2,18,21,-2.112
14,28,9,8,30,-1.397
1,5,19,5,49,-0.124
8,37,7,14,36,-1.629
10,16,17,37,35,-1.485
52,180,137,58,215,-2.191
40,67,128,107,171,-1.802
164,41,31,112,140,-2.327
81,148,157,177,152,-0.131
106,208,22,54,52,-3.023
3,2,9,566,16,-1.103
16,3,113,567,287,-0.981
18,186,114,8,259,-0.365
24,40,66,33,275,-1.582
7,64,3,15,1,-1.888
2,2,10,24,4,-0.404
12,83,28,64,46,-1.224
77,33,95,28,54,-0.829
6,80,32,14,112,-0.834
67,47,11,27,29,-1.804
40,13,13,23,27,-0.911
28,9,8,20,5,-3.145
1,37,12,112,32,-0.999
33,90,62,45,101,-0.134
59,62,46,48,1,-1.425
67,95,78,65,52,0.352
29,9,51,14,13,-1.505
48,37,56,61,26,-0.606
90,91,100,83,98,0.434
16,6,54,8,27,-0.188
