p.Top,p.Bottom,logTop,logBottom,meanCS.Top,meanCS.Bottom,medianCS.Top,medianCS.Bottom,Guide
crRNA0001:12-34,0.159526110221558,0.321736767503176,0.797168224223712,0.492499305864225,-0.162483974436835,0.119691004972669,-0.162483974436835,0.119691004972669,Perfect Match
crRNA0002:13-35,0.177820329444929,0.459062268571914,0.750018589479165,0.338128401471441,-0.28103241082965,0.0209306969877382,-0.28103241082965,0.0209306969877382,Perfect Match
crRNA0003:14-36,0.565919486969882,0.0411488410553593,0.24724535123559,1.38564239205196,-0.0072696019300132,0.240479737339251,-0.0072696019300132,0.240479737339251,Perfect Match
crRNA0004:15-37,0.381754627512538,0.510116475259106,0.418215689855092,0.292330649810174,-0.0807093818418884,0.0999587766310845,-0.0807093818418884,0.0999587766310845,Perfect Match
crRNA0005:16-38,0.740774913971141,0.543896638568178,0.130313733275875,0.264483625236682,0.0230284742324194,0.0367666225558051,0.0230284742324194,0.0367666225558051,Perfect Match
crRNA0006:17-39,0.610848366931764,0.636356210362612,0.214066582846882,0.196299713142673,0.121301656687926,0.0114211655519246,0.121301656687926,0.0114211655519246,Perfect Match
crRNA0007:18-40,0.575017060385747,0.00494979757606879,0.240319269881718,2.30541256134803,0.027128906899418,0.345932074061879,0.027128906899418,0.345932074061879,Perfect Match
crRNA0008:19-41,0.741465572943434,0.135449795402771,0.129909008934717,0.868221646633135,-0.0432643081623249,0.163194235488101,-0.0432643081623249,0.163194235488101,Perfect Match
crRNA0009:20-42,0.314940791131267,0.787713344751388,0.501771085899107,0.103631797030622,-0.132593409735872,-0.0249141724068044,-0.132593409735872,-0.0249141724068044,Perfect Match
crRNA0010:21-43,0.187794566126625,0.598501863565176,0.726316978285904,0.222934492985536,-0.233493029187034,0.00658174557051327,-0.233493029187034,0.00658174557051327,Perfect Match
crRNA0011:22-44,0.294988121055371,0.227001678235354,0.530195472374296,0.643970932033047,-0.220818496199276,0.156102801915468,-0.220818496199276,0.156102801915468,Perfect Match
crRNA0012:23-45,0.178655250409592,0.214800411097966,0.747984216011181,0.667964891792745,-0.276578525937105,0.158560109353271,-0.276578525937105,0.158560109353271,Perfect Match
crRNA0013:24-46,0.0538333296612099,0.0903231453640791,1.26894875767699,1.04420094718497,-0.368388301383764,0.246834578808546,-0.368388301383764,0.246834578808546,Perfect Match
crRNA0014:25-47,0.525298007805586,0.921706656090951,0.279594246257013,0.0354072762476106,0.140855144050515,-0.0240696340681799,0.140855144050515,-0.0240696340681799,Perfect Match
crRNA0015:26-48,0.0162271134906471,0.168842811983233,1.78975872641981,0.772517423524075,-0.351385951693976,0.211512091313382,-0.351385951693976,0.211512091313382,Perfect Match
crRNA0016:28-50,0.392999643729085,0.130212822785271,0.40560784333084,0.885346246254169,-0.152429190025512,0.0768759322873673,-0.152429190025512,0.0768759322873673,Perfect Match
crRNA0017:29-51,0.897167204070691,0.361410389171642,0.0471266104250623,0.44199936728404,-0.0141355466567998,0.0585356055779254,-0.0141355466567998,0.0585356055779254,Perfect Match
crRNA0018:30-52,0.0440871393393985,0.0727099176859807,1.35568808011265,1.13840634701539,-0.302032069082426,0.197351326322122,-0.302032069082426,0.197351326322122,Perfect Match
crRNA0019:31-53,0.426282946254052,0.394030011590421,0.37030204125835,0.404470698550738,-0.0583728974421377,0.0856902631430468,-0.0583728974421377,0.0856902631430468,Perfect Match
crRNA0020:32-54,0.174742790235269,0.60232004759072,0.757600733897773,0.220172681552765,-0.183321619065511,-0.0313218740191651,-0.183321619065511,-0.0313218740191651,Perfect Match
crRNA0021:33-55,0.466511433268749,0.390600697943266,0.331137708091798,0.408266985030145,-0.0457258034148988,-0.0839215694757516,-0.0457258034148988,-0.0839215694757516,Perfect Match
crRNA0022:34-56,0.790106744881397,0.00457209345059548,0.102314230758613,2.33988490149128,0.0824891549718404,0.393317855423502,0.0824891549718404,0.393317855423502,Perfect Match
crRNA0023:35-57,0.713673968496778,0.339044084816159,0.146500143994627,0.469743828205158,0.110660799810472,0.0853071149659236,0.110660799810472,0.0853071149659236,Perfect Match
